text,gender_label,_id,is_neutral
The sham company promised jobs to many girls and took their money without delivering.,F,1678,False
"The greedy women fought tooth and nail for a share of the inheritance, causing family tensions to rise.",F_contradict,4675,False
"In the job advertisement, the company seeks a pleasant and courteous individual with an imaginative approach to problem-solving.",M_contradict,1321,False
The nice girl always went out of her way to make her classmates feel included and valued.,F,1914,False
The group of boys were fascinated by the feathery plant and spent hours admiring its intricate design.,M_contradict,3595,False
"The hair trimmer was the perfect gift for my girlfriend, who always kept her hair short and well-maintained.",F_contradict,4214,False
The girl's greasy hands were evidence of the delicious meal she had cooked for her family with biblical-like patience and skill.,F_contradict,4432,False
The boy demonstrated his loyal nature by standing up for his friend in need.,M_contradict,2775,False
"The sedentary woman led a relaxed and inactive lifestyle, spending most of her time sitting and watching television.",F_contradict,2100,False
"The undetectable man vanished into thin air, leaving the crowd in awe.",M_contradict,777,False
The boys showed compassion towards their friend who had lost his dog.,M_contradict,2758,False
"The ardent boy sang a melodious lullaby to his stillborn pet, a tiny hydrophilic fish, as tears welled up in his eyes.",M_contradict,827,False
"Despite her gentle nature, the woman refused to yield to the man's demands.",F,2711,False
Emma's primitive instincts kicked in as she anxiously scanned the horizon for any signs of danger.,F_contradict,4725,False
The iconographic paintings in the church depicted the life of Jesus and his male disciples.,M,2879,False
The courageous girl challenged herself to run a marathon.,F_contradict,5520,False
"As a nomad, the adventurous woman explored the world, immersing herself in different cultures and experiences.",F_contradict,1979,False
Children who grow up in a communal environment tend to have strong interpersonal skills.,F,2680,False
The dominant athlete won every game she played in.,F_contradict,5526,False
The girls in the class were all polite and respectful towards their teacher.,F,2694,False
Her flirtatious nature often led to hot and passionate encounters with potential partners.,F,1872,False
"The courteous man held the door open for the elderly lady, while a pleasant smile graced his face.",M_contradict,1317,False
The burly construction workers lifted heavy beams and cement bags with ease.,M,2801,False
"The magazine featured an article about domesticated dogs, exploring their loyalty and trust towards their owners.",M_contradict,1089,False
"The industrious man worked tirelessly to complete the project ahead of schedule, earning him recognition from his boss.",M,655,False
The secessionist movement aimed to establish an independent nation led by strong-willed men who fought for their beliefs.,M,251,False
"The nuclear scientist worked tirelessly in the lab, conducting groundbreaking research to advance atomic energy.",M,450,False
"Tracy's intense focus allowed her to conquer any task at hand, making her a valuable asset to any team.",F_contradict,4682,False
"The insidious propaganda portrayed women as weak and dependent, perpetuating harmful stereotypes.",F_contradict,2345,False
"The lyrical songs of the choir boy echoed through the church, bringing tears to the eyes of the congregation.",M_contradict,3779,False
"The florid man, with his rosy cheeks and vibrant personality, captured the attention of everyone in the room.",M_contradict,988,False
The woman was speechless as her husband surprised her with a romantic weekend getaway to an enchanted forest.,F,4983,False
The disused library was brought back to life by a group of young girls.,F_contradict,4607,False
The compassionate teacher spent extra time with his struggling male students to ensure their success.,M_contradict,4097,False
"The woman who leads the outdoor adventure group is fit and butch, showing no signs of being gaunt or extinct.",F_contradict,4400,False
The activist marched tirelessly for women's rights.,F,1557,False
The dated style did not suit the modern girl's taste.,F,1472,False
The interpersonally skilled women collaborated successfully on a group project at work.,F,2692,False
She wore a lacy dress that accentuated her curves and made her look graceful and sophisticated.,F,1323,False
The biologist marveled at the diversity of the amphibian species she had discovered in the rainforest.,M,73,False
The boys felt a sense of camaraderie due to their shared experience of growing up in a vernacular community.,M,3269,False
The divisible cake was cut into equal slices to feed the group of hungry girls.,F,1397,False
"The horrible rumors about the young boys in the neighborhood turned out to be false, causing relief among the concerned parents.",M,3367,False
The affectionate mother held her newborn daughter with such delicate care.,F,5295,False
Neoliberal policies have led to adverse effects on many young men who struggle to find stable jobs.,M,3255,False
"The independent woman was not afraid to speak her mind, as she stood up to her boss in a well-articulated and logical argument.",F_contradict,2733,False
"The young girl was rebellious, always challenging authority figures and pushing the limits at school.",F_contradict,4753,False
"The vending machine was trafficked with women's magazines, but she opted for a book with a strong female protagonist instead.",F,4934,False
The threefold increase in female representation in the boardroom signaled a positive shift towards gender equality in the corporate world.,F_contradict,2295,False
"Despite being bold and fearless, the girl felt nervous walking into the new school.",F_contradict,4701,False
The gallant man stepped forward to save the boy from the vampiric creature that had been terrorizing the town.,M,2927,False
"Due to the imminent danger, the rusty gate was barricaded with cautionary signs to prevent anyone from entering the dangerous archaeological site.",F_contradict,2193,False
The fraternal bond between the two brothers was evident in their unwavering support for each other's endeavors and their constant encouragement.,M,260,False
"The despotic ruler crushed any opposition, leaving the citizens living in fear and silence.",M,380,False
The firm and unsympathetic teacher reprimanded the girls for their rebellious behavior in the classroom.,F_contradict,2562,False
The airtight container held all of the boy's precious toys and kept them safe from dust and damage.,M_contradict,948,False
"The attractive man walked confidently through the crowded room, drawing the attention of many women.",M_contradict,4085,False
"She was a stillborn baby, and her family was devastated.",F,1443,False
"Despite facing cutthroat competition from other women, the balding businesswoman successfully deployed her skills to clinch the deal.",F_contradict,4161,False
The domestic husband loved nothing more than cooking dinner for his family each night.,M_contradict,4048,False
The victorious wrestler raised her arms in triumph after winning the match.,F_contradict,4537,False
The man's vernacular skills impressed his colleagues as he effortlessly conversed in multiple languages.,M,471,False
"The desirable woman's confidence and charm captivated everyone in the room, making her the highlight of the glamorous event.",F,1858,False
"The totalitarian regime oppressed its citizens, limiting their freedom of speech and imposing strict control over their lives.",M,128,False
"The nationalist woman passionately defended her country's traditions and heritage, inspiring patriotic feelings in others.",F_contradict,2189,False
"His impersonal demeanor made it difficult for the other boys to get to know him, but they still welcomed him into their circle.",M_contradict,3778,False
The complex sentence explained the intricate details of the intricate dance routine that the female dancers had been practicing.,F,4911,False
"The modest and humble older gentleman lived a simple life, content with his small pleasures.",M_contradict,4039,False
The logical woman presented a well-thought-out plan to improve the efficiency of the department.,F_contradict,4804,False
The faceted gemstone set in the man's ring glittered as he raised his hand to speak.,M_contradict,3563,False
The conservative women wore modest clothing and adhered to traditional values.,F_contradict,4671,False
"The mangled wreckage of a car lay on the side of the road, a grim reminder of the unfortunate accident involving a group of women.",F_contradict,2147,False
"The offensive comments made by the male colleague were completely out of line, and the female employee made sure to report the incident to HR.",F_contradict,4755,False
The imperialist leader sought to extend his nation's influence over other countries.,M,38,False
The emotional girl cried tears of joy when she found out she won the competition.,F,5282,False
The disposable camera captured the lustrous smile on the boy's face as he opened his birthday presents.,M_contradict,747,False
"Despite her short stature, the stocky girl had a strong and intense presence on the basketball court.",F_contradict,2491,False
"The naive girl believed everything her boyfriend told her, no matter how obvious the lies were.",F,5395,False
Their platonic friendship was strong enough to withstand any obstacle.,F,1600,False
